team1_name,team2_name,Group,team1_win,draw,team2_win
Turkey,Italy,A,0,0,1
Wales,Switzerland,A,0,1,0
Denmark,Finland,B,0,0,1
Belgium,Russia,B,1,0,0
England,Croatia,D,1,0,0
Austria,North Macedonia,C,1,0,0
Netherlands,Ukraine,C,1,0,0
Scotland,Czech Republic,D,0,0,1
Poland,Slovakia,E,0,0,1
Spain,Sweden,E,0,1,0
Hungary,Portugal,F,0,0,1
France,Germany,F,1,0,0
Finland,Russia,B,0,0,1
Turkey,Wales,A,0,0,1
Italy,Switzerland,A,1,0,0
Ukraine,North Macedonia,C,1,0,0
Denmark,Belgium,B,0,0,1
Netherlands,Austria,C,1,0,0
Sweden,Slovakia,E,1,0,0
Croatia,Czech Republic,D,0,1,0
England,Scotland,D,0,1,0
Hungary,France,F,0,1,0
Portugal,Germany,F,0,0,1
Spain,Poland,E,0,1,0
Italy,Wales,A,1,0,0
Switzerland,Turkey,A,1,0,0
Ukraine,Austria,C,0,0,1
North Macedonia,Netherlands,C,0,0,1
Russia,Denmark,B,0,0,1
Finland,Belgium,B,0,0,1
Croatia,Scotland,D,1,0,0
Czech Republic,England,D,0,0,1
Sweden,Poland,E,1,0,0
Slovakia,Spain,E,0,0,1
Portugal,France,F,0,1,0
Germany,Hungary,F,0,1,0
Wales,Denmark,Knockout,0,0,1
Italy,Austria,Knockout,1,0,0
Netherlands,Czech Republic,Knockout,0,0,1
Belgium,Portugal,Knockout,1,0,0
Croatia,Spain,Knockout,0,0,1
France,Switzerland,Knockout,0,0,1
England,Germany,Knockout,1,0,0
Sweden,Ukraine,Knockout,0,0,1
Switzerland,Spain,Knockout,0,0,1
Belgium,Italy,Knockout,0,0,1
Czech Republic,Denmark,Knockout,0,0,1
Ukraine,England,Knockout,0,0,1
Italy,Spain,Knockout,1,0,0
England,Denmark,Knockout,1,0,0
Italy,England,Knockout,1,0,0
